Part;Value;Device;Package;Description
C1;22µF Tantalum 4V;C-EUC0805;C0805;CAPACITOR, European symbol
C2;0.1µF Ceramic 25V ;C-EUC0805;C0805;CAPACITOR, European symbol
IC1;PIC18F25K50;PIC18F25K50-I/SO;SO28W;PIC18F25K50 28 pin DIP
ICSP;2.54mm;PINHD-1X6;1X06;PIN HEADER
JP1;2.54mm;PINHD-1X4;1X04;PIN HEADER
JP2;;FCI-10103594-0001LF;USB-RECEPTABLE;USB Receptable
LED1;RED 22MCD;KPT-2012LSURCK;CHIPLED_0805;LED
LED2;GREEN 3MCD;KPT-2012LCGCK;CHIPLED_0805;LED
Q1;PNP Low Vce;NSV40200LT1G ;SOT23-BEC;PNP Transistror
R1;47Ohm;R-EU_M0805;M0805;RESISTOR, European symbol
R2;56Ohm;R-EU_M0805;M0805;RESISTOR, European symbol
R3;10k;R-EU_M0805;M0805;RESISTOR, European symbol
R4;10k;R-EU_M0805;M0805;RESISTOR, European symbol
R6;1k;R-EU_M0805;M0805;RESISTOR, European symbol
R7;1k;R-EU_M0805;M0805;RESISTOR, European symbol
SW1;SPST_TACT-KMR2;SPST_TACT-KMR2;KMR2;SMT 6mm switch, EVQQ2 series
SW2;SPST_TACT-KMR2;SPST_TACT-KMR2;KMR2;SMT 6mm switch, EVQQ2 series
U1;MIC5209-X.XYS;MIC5209-3.3YS ;SOT223;LDO REGULATOR
U2;ESP8266;ESP8266;ESP-03;ESP8266 Wifi module 03 & 04
